news_headline,news_article,news_category,full_text,clean_text
Lightning kills 21-year-old aspiring cricketer in Kolkata,"A 21-year-old aspiring cricketer died after being struck by lightning during practice at the Calcutta Cricket Academy in Kolkata on Sunday. Debabrata Pal, who was an all-rounder, had joined the academy last month. Club Secretary Abdul Masood revealed that they performed cardiopulmonary resuscitation (CPR) on Pal after he collapsed but he did not respond to it.",sports,"Lightning kills 21-year-old aspiring cricketer in Kolkata. A 21-year-old aspiring cricketer died after being struck by lightning during practice at the Calcutta Cricket Academy in Kolkata on Sunday. Debabrata Pal, who was an all-rounder, had joined the academy last month. Club Secretary Abdul Masood revealed that they performed cardiopulmonary resuscitation (CPR) on Pal after he collapsed but he did not respond to it.",lightning kills year old aspire cricketer kolkata year old aspire cricketer die strike lightn dur practice calcutta cricket academy kolkata sunday debabrata pal rounder join academy last month club secretary abdul masood reveal perform cardiopulmonary resuscitation cpr pal collapse not respond
Canada GP ends 2 laps early as model waves flag before finish,The Canadian Grand Prix was officially counted till the 68th lap after VIP guest and model Winnie Harlow waved the chequered flag too early in Montreal on Sunday. German Formula One driver Sebastian Vettel handed Ferrari its first Formula One win in Canada in 14 years after registering his career's 50th Grand Prix win.,sports,Canada GP ends 2 laps early as model waves flag before finish. The Canadian Grand Prix was officially counted till the 68th lap after VIP guest and model Winnie Harlow waved the chequered flag too early in Montreal on Sunday. German Formula One driver Sebastian Vettel handed Ferrari its first Formula One win in Canada in 14 years after registering his career's 50th Grand Prix win.,canada gp end lap early model wave flag finish canadian grand prix officially counted till th lap vip guest model winnie harlow wave chequer flag early montreal sunday german formula one driver sebastian vettel handed ferrari first formula one win canada year register career th grand prix win
"Comparisons with Messi, Ronaldo unfair: Sunil Chhetri","Indian football captain Sunil Chhetri has said that comparisons with Lionel Messi and Cristiano Ronaldo, who are above him on the list of highest active goalscorers, are unfair. ""The two players who are above me are completely world stars... There is a massive difference between them and us. There is no comparison at all,"" Chhetri said.",sports,"Comparisons with Messi, Ronaldo unfair: Sunil Chhetri. Indian football captain Sunil Chhetri has said that comparisons with Lionel Messi and Cristiano Ronaldo, who are above him on the list of highest active goalscorers, are unfair. ""The two players who are above me are completely world stars... There is a massive difference between them and us. There is no comparison at all,"" Chhetri said.",comparison messi ronaldo unfair sunil chhetri indian football captain sunil chhetri say comparison lionel messi cristiano ronaldo list high active goalscorer unfair two player completely world star massive difference us no comparison chhetri say
UP CM grants ₹4.5 lakh to 19-yr-old shooter for Jr World Cup,"Uttar Pradesh Chief Minister Yogi Adityanath granted ₹4.5 lakh to 19-year-old shooter Priya Singh to help her participate in the International Shooting Sports Federation (ISSF) Junior World Cup in Germany. The 19-year-old, who is a daughter of a Dalit labourer from Meerut, was one of the six candidates selected for the 50-metre rifle prone ISSF Junior World Cup event.",sports,"UP CM grants ₹4.5 lakh to 19-yr-old shooter for Jr World Cup. Uttar Pradesh Chief Minister Yogi Adityanath granted ₹4.5 lakh to 19-year-old shooter Priya Singh to help her participate in the International Shooting Sports Federation (ISSF) Junior World Cup in Germany. The 19-year-old, who is a daughter of a Dalit labourer from Meerut, was one of the six candidates selected for the 50-metre rifle prone ISSF Junior World Cup event.",cm grant lakh yr old shooter jr world cup uttar pradesh chief minister yogi adityanath grant lakh year old shooter priya singh help participate international shooting sport federation issf junior world cup germany year old daughter dalit labourer meerut one six candidate select metre rifle prone issf junior world cup event
Nadal has defeated 7 different men in 11 French Open finals,"Rafael Nadal, who on Sunday defeated Dominic Thiem to win French Open for a record-extending 11th time, has defeated seven different opponents in his 11 French Open finals. The world number one defeated Mariano Puerta to win his maiden French Open title in 2005 as a 19-year-old. Nadal clinched the 2006, 2007, 2008 and 2011 titles by defeating Roger Federer.",sports,"Nadal has defeated 7 different men in 11 French Open finals. Rafael Nadal, who on Sunday defeated Dominic Thiem to win French Open for a record-extending 11th time, has defeated seven different opponents in his 11 French Open finals. The world number one defeated Mariano Puerta to win his maiden French Open title in 2005 as a 19-year-old. Nadal clinched the 2006, 2007, 2008 and 2011 titles by defeating Roger Federer.",nadal defeat different man french open final rafael nadal sunday defeat dominic thiem win french open record extend th time defeat seven different opponent french open final world number one defeat mariano puerta win maiden french open title year old nadal clinch title defeat roger federer
B'desh men's team celebrates women's last-ball Asia Cup win,"Bangladesh men's cricket team opener Tamim Iqbal took to Instagram to share a video of the team celebrating the women's team's Asia Cup final victory against India. In the video, Iqbal can be seen jumping in joy in a dressing room, along with Mashrafe Mortaza, Mustafizur Rahman and others, after watching the women's team clinch victory on the last ball.",sports,"B'desh men's team celebrates women's last-ball Asia Cup win. Bangladesh men's cricket team opener Tamim Iqbal took to Instagram to share a video of the team celebrating the women's team's Asia Cup final victory against India. In the video, Iqbal can be seen jumping in joy in a dressing room, along with Mashrafe Mortaza, Mustafizur Rahman and others, after watching the women's team clinch victory on the last ball.",bdesh men team celebrate women last ball asia cup win bangladesh men cricket team opener tamim iqbal take instagram share video team celebrate women teams asia cup final victory india video iqbal seen jump joy dressing room along mashrafe mortaza mustafizur rahman watch women team clinch victory last ball
Work timings relaxed in Brazil for people to watch World Cup,"The Brazilian government will relax the work timings so that the citizens can watch Brazil's FIFA World Cup matches. People will be allowed to report to work by 2 pm on the days when Brazil play in the morning (according to Brazil time). Further, they can leave from work by 1 pm when Brazil have matches in the afternoon.",sports,"Work timings relaxed in Brazil for people to watch World Cup. The Brazilian government will relax the work timings so that the citizens can watch Brazil's FIFA World Cup matches. People will be allowed to report to work by 2 pm on the days when Brazil play in the morning (according to Brazil time). Further, they can leave from work by 1 pm when Brazil have matches in the afternoon.",work timing relax brazil people watch world cup brazilian government relax work timing citizen watch brazils fifa world cup match people allow report work pm day brazil play morning accord brazil time leave work pm brazil match afternoon
Do you think I'm mad that I will marry another girl: Shami,"Reacting to his wife Hasin Jahan's allegations that he wants to marry his elder brother's sister-in-law after Eid, Indian cricketer Mohammad Shami said he is not mad that he will marry another girl. ""I am (already) in much trouble due to my first marriage,"" he added. Hasin had also alleged that Shami offered her money and asked for divorce.",sports,"Do you think I'm mad that I will marry another girl: Shami. Reacting to his wife Hasin Jahan's allegations that he wants to marry his elder brother's sister-in-law after Eid, Indian cricketer Mohammad Shami said he is not mad that he will marry another girl. ""I am (already) in much trouble due to my first marriage,"" he added. Hasin had also alleged that Shami offered her money and asked for divorce.",think mad marry another girl shami react wife hasin jahan allegation want marry elder brother sister law eid indian cricketer mohammad shami say not mad marry another girl already much trouble due first marriage add hasin also allege shami offer money ask divorce
Nadal 3rd tennis player to earn $100 million in prize money,"Following his 11th French Open title, world number one Rafael Nadal became the third player after Roger Federer and Novak Djokovic to earn $100 million in prize money. The 32-year-old, who had won $98,001,598 before the tournament, was awarded $2.6 million for his title win. Notably, Djokovic had become the first tennis player to earn $100 million in June 2016.",sports,"Nadal 3rd tennis player to earn $100 million in prize money. Following his 11th French Open title, world number one Rafael Nadal became the third player after Roger Federer and Novak Djokovic to earn $100 million in prize money. The 32-year-old, who had won $98,001,598 before the tournament, was awarded $2.6 million for his title win. Notably, Djokovic had become the first tennis player to earn $100 million in June 2016.",nadal rd tennis player earn million prize money follow th french open title world number one rafael nadal become third player roger federer novak djokovic earn million prize money year old win tournament award million title win notably djokovic become first tennis player earn million june
78-year-old Polish fan to attend his 11th FIFA World Cup,"Andrzej Bobowski, a 78-year-old Polish fan, is set to attend his 11th FIFA World Cup at the upcoming edition in Russia. Bobowski has watched 135 World Cup matches in the stadiums since his visit to Argentina in 1978 with a ticket bought by his then wife. Indian couple Pannalal and Chaitali Chatterjee will attend their 10th World Cup in Russia.",sports,"78-year-old Polish fan to attend his 11th FIFA World Cup. Andrzej Bobowski, a 78-year-old Polish fan, is set to attend his 11th FIFA World Cup at the upcoming edition in Russia. Bobowski has watched 135 World Cup matches in the stadiums since his visit to Argentina in 1978 with a ticket bought by his then wife. Indian couple Pannalal and Chaitali Chatterjee will attend their 10th World Cup in Russia.",year old polish fan attend th fifa world cup andrzej bobowski year old polish fan set attend th fifa world cup upcoming edition russia bobowski watch world cup match stadium since visit argentina ticket bought wife indian couple pannalal chaitali chatterjee attend th world cup russia
Warner to commentate during Eng-Aus ODI post ball-tampering,"Former Australian vice-captain David Warner, who was handed a ban for being involved in the ball-tampering scandal in South Africa, is set to commentate during an Australia-England ODI this month. ""He just wants to atone for his mistakes and move on, I hope Australia gives all of them that chance,"" the broadcaster's director of sports said.",sports,"Warner to commentate during Eng-Aus ODI post ball-tampering. Former Australian vice-captain David Warner, who was handed a ban for being involved in the ball-tampering scandal in South Africa, is set to commentate during an Australia-England ODI this month. ""He just wants to atone for his mistakes and move on, I hope Australia gives all of them that chance,"" the broadcaster's director of sports said.",warner commentate eng aus odi post ball tamper former australian vice captain david warner hand ban involve ball tamper scandal south africa set commentate australia england odi month want atone mistake move hope australia give chance broadcaster director sport say
6-time reigning champs India fail to defend Women's Asia Cup,Six-time reigning champions India failed to defend the Women's Asia Cup after suffering a three-wicket defeat on the last ball against Bangladesh in the final at Kuala Lumpur on Sunday. This was the second time Bangladesh defeated India in this edition of Asia Cup. Both of Indian women's team's defeats in the 14-year history of Asia Cup occurred this year.,sports,6-time reigning champs India fail to defend Women's Asia Cup. Six-time reigning champions India failed to defend the Women's Asia Cup after suffering a three-wicket defeat on the last ball against Bangladesh in the final at Kuala Lumpur on Sunday. This was the second time Bangladesh defeated India in this edition of Asia Cup. Both of Indian women's team's defeats in the 14-year history of Asia Cup occurred this year.,time reign champ india fail defend women asia cup six time reign champion india fail defend women asia cup suffer three wicket defeat last ball bangladesh final kuala lumpur sunday second time bangladesh defeat india edition asia cup indian women teams defeat year history asia cup occur year
Afridi posts pic of daughter with chained lion in background,"Former Pakistan captain Shahid Afridi shared a couple of photos on his official social media accounts, one being of his daughter copying his wicket-taking celebration with a chained lion lying in the background. Afridi posted another photo of him feeding a baby deer, captioned, ""And yes don't forget to take care of animals, they too deserve our love and care"".",sports,"Afridi posts pic of daughter with chained lion in background. Former Pakistan captain Shahid Afridi shared a couple of photos on his official social media accounts, one being of his daughter copying his wicket-taking celebration with a chained lion lying in the background. Afridi posted another photo of him feeding a baby deer, captioned, ""And yes don't forget to take care of animals, they too deserve our love and care"".",afridi post pic daughter chain lion background former pakistan captain shahid afridi share couple photo official social media account one daughter copy wicket take celebration chain lion lying background afridi post another photo feed baby deer caption yes not forget take care animal deserve love care
Kim Jong-un arrives in Singapore for summit with Trump,North Korean leader Kim Jong-un arrived in Singapore on Sunday for his historic summit with US President Donald Trump on June 12. The trip to Singapore represents the farthest Kim has traveled from North Korea since taking power after his father's death in 2011. He will meet Singapore Prime Minister Lee Hsien Loong later in the day. ,world,Kim Jong-un arrives in Singapore for summit with Trump. North Korean leader Kim Jong-un arrived in Singapore on Sunday for his historic summit with US President Donald Trump on June 12. The trip to Singapore represents the farthest Kim has traveled from North Korea since taking power after his father's death in 2011. He will meet Singapore Prime Minister Lee Hsien Loong later in the day. ,kim jong un arrif singapore summit trump north korean leader kim jong un arrive singapore sunday historic summit us president donald trump june trip singapore represent farth kim travel north korea since take power father death meet singapore prime minister lee hsien loong later day
F**k Trump: Oscar-winning actor Robert De Niro at Tony Awards,"Oscar-winning actor Robert de Niro swore at US President Donald Trump twice saying, ""F**k Trump"" during the live TV broadcast of Tony Awards 2018 on Sunday. De Niro, who appeared on stage to introduce performer Bruce Springsteen, at first said, ""I'm gonna say one thing. F**k Trump,"" and later stated, ""It's no longer down with Trump. It's f**k Trump.""",world,"F**k Trump: Oscar-winning actor Robert De Niro at Tony Awards. Oscar-winning actor Robert de Niro swore at US President Donald Trump twice saying, ""F**k Trump"" during the live TV broadcast of Tony Awards 2018 on Sunday. De Niro, who appeared on stage to introduce performer Bruce Springsteen, at first said, ""I'm gonna say one thing. F**k Trump,"" and later stated, ""It's no longer down with Trump. It's f**k Trump.""",fk trump oscar win actor robert de niro tony award oscar win actor robert de niro swore us president donald trump twice say fk trump dur live tv broadcast tony award sunday de niro appear stage introduce performer bruce springsteen first say go say one thing fk trump later stated no longer trump fk trump
What's the SCO summit which India is attending for 1st time?,"The Shanghai Cooperation Organisation (SCO) is an intergovernmental international organisation which came into force in 2003. It consists of eight member states—India, Kazakhstan, China, Kyrgyzstan, Pakistan, Russia, Tajikistan, and Uzbekistan—and is seen as a counter to the NATO. PM Narendra Modi is the first Indian PM to attend the summit after India became a full member in 2017.",world,"What's the SCO summit which India is attending for 1st time?. The Shanghai Cooperation Organisation (SCO) is an intergovernmental international organisation which came into force in 2003. It consists of eight member states—India, Kazakhstan, China, Kyrgyzstan, Pakistan, Russia, Tajikistan, and Uzbekistan—and is seen as a counter to the NATO. PM Narendra Modi is the first Indian PM to attend the summit after India became a full member in 2017.",sco summit india attend st time shanghai cooperation organisation sco intergovernmental international organisation come force consist eight member statesindia kazakhstan china kyrgyzstan pakistan russia tajikistan uzbekistanand seen counter nato pm narendra modi first indian pm attend summit india become full member
China Prez Xi accepts PM Modi's invite for informal summit,"Chinese President Xi Jinping has accepted PM Narendra Modi's invitation for an informal summit in India next year, the Ministry of External Affairs said. The two leaders had met for their first informal summit in the Chinese city of Wuhan in April. PM Modi met President Xi on Saturday along the sidelines of the two-day Shanghai Cooperation Organisation summit.",world,"China Prez Xi accepts PM Modi's invite for informal summit. Chinese President Xi Jinping has accepted PM Narendra Modi's invitation for an informal summit in India next year, the Ministry of External Affairs said. The two leaders had met for their first informal summit in the Chinese city of Wuhan in April. PM Modi met President Xi on Saturday along the sidelines of the two-day Shanghai Cooperation Organisation summit.",china prez xi accept pm modis invite informal summit chinese president xi jinping accept pm narendra modi invitation informal summit india next year ministry external affair say two leader meet first informal summit chinese city wuhan april pm modi met president xi saturday along sideline two day shanghai cooperation organisation summit
India refuses to endorse China's Belt and Road Initiative,"Refusing to endorse China's Belt and Road Initiative at the Shanghai Cooperation Organisation summit, Prime Minister Narendra Modi said that India would welcome only those connectivity projects which respect its sovereignty and regional integrity. Notably, India oppose the Belt and Road Initiative as it includes the China-Pakistan Economic Corridor which passes through Pakistan-occupied Kashmir.",world,"India refuses to endorse China's Belt and Road Initiative. Refusing to endorse China's Belt and Road Initiative at the Shanghai Cooperation Organisation summit, Prime Minister Narendra Modi said that India would welcome only those connectivity projects which respect its sovereignty and regional integrity. Notably, India oppose the Belt and Road Initiative as it includes the China-Pakistan Economic Corridor which passes through Pakistan-occupied Kashmir.",india refuse endorse china belt road initiative refusing endorse china belt road initiative shanghai cooperation organisation summit prime minister narendra modi say india would welcome connectivity project respect sovereignty regional integrity notably india oppose belt road initiative include china pakistan economic corridor pass pakistan occupy kashmir
US President Trump calls Kim Jong-un 'unknown personality',"US President Donald Trump has said his summit with North Korean leader Kim Jong-un would be about building a relationship and setting up a dialogue with a leader having an ""unknown personality"". ""People don't know much about him...Many leaders next to him have never met him,"" he added. Both the leaders have arrived in Singapore for the June 12 talks.",world,"US President Trump calls Kim Jong-un 'unknown personality'. US President Donald Trump has said his summit with North Korean leader Kim Jong-un would be about building a relationship and setting up a dialogue with a leader having an ""unknown personality"". ""People don't know much about him...Many leaders next to him have never met him,"" he added. Both the leaders have arrived in Singapore for the June 12 talks.",us president trump call kim jong un unknown personality us president donald trump say summit north korean leader kim jong un would build relationship set dialogue leader unknown personality people not know much many leaders next never meet add leader arrive singapore june talk
Man jumps to death at Mecca's Grand Mosque,"A man jumped off the roof of the Grand Mosque in the Muslim holy city of Mecca on Friday. His body was sent to a local hospital and an investigation into the incident and the man's motives has been launched. Last year, a Saudi man was held by police as he was trying to set himself ablaze at the mosque.",world,"Man jumps to death at Mecca's Grand Mosque. A man jumped off the roof of the Grand Mosque in the Muslim holy city of Mecca on Friday. His body was sent to a local hospital and an investigation into the incident and the man's motives has been launched. Last year, a Saudi man was held by police as he was trying to set himself ablaze at the mosque.",man jump death meccas grand mosque man jump roof grand mosque muslim holy city mecca friday body sent local hospital investigation incident man motif launch last year saudi man hold police try set ablaze mosque
Pic of Merkel staring at Trump during G7 summit goes viral,"A picture of German Chancellor Angela Merkel staring directly at US President Donald Trump during the G7 summit has gone viral. The picture was shared on Merkel's Instagram account. Reacting to the picture, a Twitter user wrote, ""She knows how to send a message,"" while another tweeted, ""The woman leader of the free world telling Trump how it is.""",world,"Pic of Merkel staring at Trump during G7 summit goes viral. A picture of German Chancellor Angela Merkel staring directly at US President Donald Trump during the G7 summit has gone viral. The picture was shared on Merkel's Instagram account. Reacting to the picture, a Twitter user wrote, ""She knows how to send a message,"" while another tweeted, ""The woman leader of the free world telling Trump how it is.""",pic merkel star trump g summit go viral picture german chancellor angela merkel star directly us president donald trump dur g summit go viral picture share merkel instagram account react picture twitter user wrote know send message anoth tweet woman leader free world tell trump
Singapore summit is a 'one-time shot' for Kim Jong-un: Trump,"US President Donald Trump on Saturday said that the upcoming Singapore summit will be a ""one-time shot"" for North Korean leader Kim Jong-un. Calling the summit a ""mission of peace"", Trump added it was an opportunity for Kim to do something for his people. He further said North Korea had been working ""very well"" in the build-up to the summit.",world,"Singapore summit is a 'one-time shot' for Kim Jong-un: Trump. US President Donald Trump on Saturday said that the upcoming Singapore summit will be a ""one-time shot"" for North Korean leader Kim Jong-un. Calling the summit a ""mission of peace"", Trump added it was an opportunity for Kim to do something for his people. He further said North Korea had been working ""very well"" in the build-up to the summit.",singapore summit one time shoot kim jong un trump us president donald trump saturday say upcoming singapore summit one time shoot north korean leader kim jong un call summit mission peace trump add opportunity kim something people say north korea work well build summit
"US President Trump arrives late at G7 summit, leaves early",US President Donald Trump arrived several minutes after the start of the G7 meeting on women's empowerment. He missed Canadian PM Justin Trudeau's introductory statement at the meeting and entered the room while Canada's ambassador to France Isabelle Hudon was speaking. Trump then left the meeting early to head to Singapore for his summit with North Korean leader Kim Jong-un.,world,"US President Trump arrives late at G7 summit, leaves early. US President Donald Trump arrived several minutes after the start of the G7 meeting on women's empowerment. He missed Canadian PM Justin Trudeau's introductory statement at the meeting and entered the room while Canada's ambassador to France Isabelle Hudon was speaking. Trump then left the meeting early to head to Singapore for his summit with North Korean leader Kim Jong-un.",us president trump arrif late g summit leaf early us president donald trump arrive several minute start g meeting women empowerment miss canadian pm justin trudeaus introductory statement meeting enter room canada ambassador france isabelle hudon speak trump leave meeting early head singapore summit north korean leader kim jong un
Will know in first minute if Kim summit will succeed: Trump,"US President Donald Trump has said he will know ""in the first minute"" whether his summit with North Korean leader Kim Jong-un will be successful. He further said that Kim is ""going to surprise on the upside"". ""And if I think it won't happen, I'm not going to waste my time. I don't want to waste his time,"" he added.",world,"Will know in first minute if Kim summit will succeed: Trump. US President Donald Trump has said he will know ""in the first minute"" whether his summit with North Korean leader Kim Jong-un will be successful. He further said that Kim is ""going to surprise on the upside"". ""And if I think it won't happen, I'm not going to waste my time. I don't want to waste his time,"" he added.",know first minute kim summit succeed trump us president donald trump say know first minute whether summit north korean leader kim jong un successful say kim go surprise upside think not happen not go waste time not want waste time add
$3 billion pledged for girl education at G7 summit,"Pledges worth nearly $3 billion to help vulnerable women and girls, including refugees, get an education were announced at the G7 summit in Canada. The Canadian government said the amount could help educate over 80 lakh children and teenagers. Canadian PM Justin Trudeau called it ""the single largest investment in education for women and girls in crisis and conflict situations"".",world,"$3 billion pledged for girl education at G7 summit. Pledges worth nearly $3 billion to help vulnerable women and girls, including refugees, get an education were announced at the G7 summit in Canada. The Canadian government said the amount could help educate over 80 lakh children and teenagers. Canadian PM Justin Trudeau called it ""the single largest investment in education for women and girls in crisis and conflict situations"".",billion pledge girl education g summit pledge worth nearly billion help vulnerable woman girl include refugee get education announced g summit canada canadian government say amount could help educate lakh child teenager canadian pm justin trudeau call single large investment education woman girl crisis conflict situation
Valedictorian's mic cut while talking about sexual assault,"A high school in California, US, cut its valedictorian's microphone after she began talking about the alleged mishandling of cases of sexual misconduct by members of the school community. A video of the incident showed the audience applauding her and chanting ""let her speak"". The student later posted an ""uncensored"" version of her speech.",world,"Valedictorian's mic cut while talking about sexual assault. A high school in California, US, cut its valedictorian's microphone after she began talking about the alleged mishandling of cases of sexual misconduct by members of the school community. A video of the incident showed the audience applauding her and chanting ""let her speak"". The student later posted an ""uncensored"" version of her speech.",valedictorian mic cut talk sexual assault high school california us cut valedictorian microphone begin talk allege mishandling case sexual misconduct member school community video incident show audience applaud chant let speak student later post uncensor version speech
Trudeau deserves special place in hell: Trump's adviser ,"Slamming Canadian Prime Minister Justin Trudeau's comments on US tariffs during the G7 summit, US President Donald Trump's trade adviser Peter Navarro said, ""Trudeau deserves a special place in hell."" Navarro also accused Trudeau of backstabbing Trump. The Canadian PM had called US tariffs ""insulting"", saying the country won't be pushed around and plans to apply retaliatory tariffs.",world,"Trudeau deserves special place in hell: Trump's adviser . Slamming Canadian Prime Minister Justin Trudeau's comments on US tariffs during the G7 summit, US President Donald Trump's trade adviser Peter Navarro said, ""Trudeau deserves a special place in hell."" Navarro also accused Trudeau of backstabbing Trump. The Canadian PM had called US tariffs ""insulting"", saying the country won't be pushed around and plans to apply retaliatory tariffs.",trudeau deserf special place hell trump adviser slam canadian prime minister justin trudeaus comment us tariff dur g summit us president donald trump trade adviser peter navarro say trudeau deserf special place hell navarro also accuse trudeau backstabb trump canadian pm call us tariff insulting say country not push around plan apply retaliatory tariff
US is like a piggy bank that everyone is robbing: Trump,"Slamming nations against their ""brutal"" approach in conducting trade with his country, President Donald Trump on Saturday said that the US is like a ""piggy bank that everyone is robbing"". Trump further criticised former US Presidents for their foreign trade policies and called for ""fair and reciprocal"" trade practices. ",world,"US is like a piggy bank that everyone is robbing: Trump. Slamming nations against their ""brutal"" approach in conducting trade with his country, President Donald Trump on Saturday said that the US is like a ""piggy bank that everyone is robbing"". Trump further criticised former US Presidents for their foreign trade policies and called for ""fair and reciprocal"" trade practices. ",us like piggy bank everyone rob trump slam nation brutal approach conducting trade country president donald trump saturday say us like piggy bank everyone rob trump criticise former us president foreign trade policy call fair reciprocal trade practice
"Trump calls Trudeau weak, refuses to endorse G7 statement","Following the G7 summit in Canada, US President Donald Trump called Canadian Prime Minister Justin Trudeau ""dishonest"" and ""weak"" for his remarks on tariffs imposed by the US on metal imports from Canada. ""Trudeau acted so meek and mild,"" he said. Trump also said that the US will not sign a previously agreed summit communique.",world,"Trump calls Trudeau weak, refuses to endorse G7 statement. Following the G7 summit in Canada, US President Donald Trump called Canadian Prime Minister Justin Trudeau ""dishonest"" and ""weak"" for his remarks on tariffs imposed by the US on metal imports from Canada. ""Trudeau acted so meek and mild,"" he said. Trump also said that the US will not sign a previously agreed summit communique.",trump call trudeau weak refuse endorse g statement follow g summit canada us president donald trump call canadian prime minister justin trudeau dishonest weak remark tariff impose us metal import canada trudeau act meek mild say trump also say us not sign previously agree summit communique
US news channel host calls Trump a 'dictator',"A Fox News show host called the upcoming summit between US President Donald Trump and North Korean leader Kim Jong-un as a ""meeting between two dictators"" on air. However, the host later apologised, saying, ""I did not mean that."" Reacting to the gaffe, a twitter user wrote, ""Fox News just called Trump a dictator. Finally, intellectual reporting.""",world,"US news channel host calls Trump a 'dictator'. A Fox News show host called the upcoming summit between US President Donald Trump and North Korean leader Kim Jong-un as a ""meeting between two dictators"" on air. However, the host later apologised, saying, ""I did not mean that."" Reacting to the gaffe, a twitter user wrote, ""Fox News just called Trump a dictator. Finally, intellectual reporting.""",us news channel host call trump dictator fox news show host call upcoming summit us president donald trump north korean leader kim jong un meeting two dictator air however host later apologise say not mean react gaffe twitter user wrote fox news call trump dictator finally intellectual reporting
Nothing Trump is doing will make the world better: Germany,"Commenting on US President Donald Trump's trade policies and his Iran nuclear deal withdrawal, German Foreign Minister Heiko Maas has said nothing Trump is doing will ""make the world better, safer or more peaceful"". Adding that the only answer to 'America First' is 'Europe United', Maas said, ""Trump knows that what he is doing is of direct detriment to Europe.""",world,"Nothing Trump is doing will make the world better: Germany. Commenting on US President Donald Trump's trade policies and his Iran nuclear deal withdrawal, German Foreign Minister Heiko Maas has said nothing Trump is doing will ""make the world better, safer or more peaceful"". Adding that the only answer to 'America First' is 'Europe United', Maas said, ""Trump knows that what he is doing is of direct detriment to Europe.""",nothing trump make world better germany comment us president donald trump trade policy iran nuclear deal withdrawal german foreign minister heiko maas say nothing trump make world better safer peaceful add answer america first europe united maas say trump know direct detriment europe
Prince George's cousin shuts him up during UK national anthem,"A video showing Queen Elizabeth II's great-granddaughter Savannah Phillips covering her cousin Prince George's mouth with her hand to shut him up has gone viral online. The incident occurred at the balcony of Buckingham Palace during the Trooping the Colour celebration,  when the British national anthem 'God Save the Queen' was being played.",world,"Prince George's cousin shuts him up during UK national anthem. A video showing Queen Elizabeth II's great-granddaughter Savannah Phillips covering her cousin Prince George's mouth with her hand to shut him up has gone viral online. The incident occurred at the balcony of Buckingham Palace during the Trooping the Colour celebration,  when the British national anthem 'God Save the Queen' was being played.",prince george cousin shut uk national anthem video showing queen elizabeth iis great granddaughter savannah phillip cover cousin prince george mouth hand shut go viral online incident occur balcony buckingham palace dur trooping colour celebration british national anthem god save queen play
PM Modi shakes hands with Pak Prez at SCO summit in China  ,"Prime Minister Narendra Modi on Sunday shook hands with Pakistan President Mamnoon Hussain after signing of agreements at Shanghai Cooperation Organisation in China. Earlier, PM Modi met Chinese President Xi Jinping and signed an agreement allowing India to export non-Basmati rice to China. Another agreement was signed under which China will share hydrological data on Brahmaputra river with India.",world,"PM Modi shakes hands with Pak Prez at SCO summit in China  . Prime Minister Narendra Modi on Sunday shook hands with Pakistan President Mamnoon Hussain after signing of agreements at Shanghai Cooperation Organisation in China. Earlier, PM Modi met Chinese President Xi Jinping and signed an agreement allowing India to export non-Basmati rice to China. Another agreement was signed under which China will share hydrological data on Brahmaputra river with India.",pm modi shake hand pak prez sco summit china prime minister narendra modi sunday shook hand pakistan president mamnoon hussain sign agreement shanghai cooperation organisation china earlier pm modi meet chinese president xi jinping sign agreement allow india export non basmati rice china another agreement sign china share hydrological datum brahmaputra river india
Brazilian newborn thought to be dead buried for 7 hours,"A newborn baby in Brazil's Canarana was buried for seven hours after her family apparently thought she was dead. Her mother, a 15-year-old who gave birth in the bathroom, said the baby fell on the bathroom floor and hit her head. The newborn, who was rescued by police, suffered two fractures to her skull and had her umbilical cord attached.",world,"Brazilian newborn thought to be dead buried for 7 hours. A newborn baby in Brazil's Canarana was buried for seven hours after her family apparently thought she was dead. Her mother, a 15-year-old who gave birth in the bathroom, said the baby fell on the bathroom floor and hit her head. The newborn, who was rescued by police, suffered two fractures to her skull and had her umbilical cord attached.",brazilian newborn thought dead bury hour newborn baby brazils canarana bury seven hour family apparently think dead mother year old give birth bathroom say baby fall bathroom floor hit head newborn rescue police suffered two fracture skull umbilical cord attach
Singapore to spend ₹100 crore for Trump-Kim summit: PM Lee,"Singapore Prime Minister Lee Hsien Loong on Sunday said that the country will spend around ₹100 crore to host the historic summit between US President Donald Trump and North Korean leader Kim Jong-un. Adding that the summit gives Singapore publicity, Lee said, ""It's our contribution to an international endeavour which is in our profound interest.""",world,"Singapore to spend ₹100 crore for Trump-Kim summit: PM Lee. Singapore Prime Minister Lee Hsien Loong on Sunday said that the country will spend around ₹100 crore to host the historic summit between US President Donald Trump and North Korean leader Kim Jong-un. Adding that the summit gives Singapore publicity, Lee said, ""It's our contribution to an international endeavour which is in our profound interest.""",singapore spend crore trump kim summit pm lee singapore prime minister lee hsien loong sunday say country spend around crore host historic summit us president donald trump north korean leader kim jong un add summit give singapore publicity lee say contribution international endeavour profound interest
